match_id,time_stamp,title,tour,round,surface,winner,predict,prediction_roi,player1_name,player1_country,player1_height,player1_weight,player1_age,player1_current_rank,player1_highest_rank,player1_year_total_win,player1_year_total_lose,player1_year_surface_win,player1_year_surface_lose,player1_career_total_win,player1_career_total_lose,player1_career_surface_win,player1_career_surface_lose,player1_roi,player1_H2H,player1_elo,player1_odds,player1_latest_win,player2_name,player2_country,player2_height,player2_weight,player2_age,player2_current_rank,player2_highest_rank,player2_year_total_win,player2_year_total_lose,player2_year_surface_win,player2_year_surface_lose,player2_career_total_win,player2_career_total_lose,player2_career_surface_win,player2_career_surface_lose,player2_roi,player2_H2H,player2_elo,player2_odds,player2_latest_win
2158341,2022-08-03-02-00,Washington,atp,2. round,hard,2,1,-1,Kyle Edmund,Great Britain,188,83,27,639,14,3,1,3,1,324,190,134,89,4.16,4,-,2.84,4,Daniel Evans,Great Britain,175,75,32,40,22,18,16,8,6,560,347,243,139,-3.55,2,1784,1.49,6
2154325,2022-08-03-02-00,Washington,wta,1. round,hard,1,2,-1,Ajla Tomljanovic,Australia,180,67,29,69,38,19,17,5,8,368,282,192,152,-3.94,0,1774,1.76,7,A. Stephens Sloane,USA,170,61,29,57,3,10,10,6,3,351,250,195,151,-0.24,6,1751,2.17,4
2154311,2022-08-03-02-00,Washington,wta,1. round,hard,2,1,-1,Madison Brengle,USA,174,60,32,61,35,16,18,9,7,548,410,334,221,2.78,0,1701,2.16,3,Anna Kalinskaya,Russia,175,68,23,71,70,17,15,12,5,224,138,112,51,-3.28,2,1731,1.76,3
2154309,2022-08-03-02-00,Washington,wta,1. round,hard,1,1,1.42,Andrea Petkovic,Germany,180,69,34,68,9,13,11,4,3,545,376,179,147,0.5,0,1741,2.42,5,Clara Tauson,Denmark,-,-,19,49,33,7,8,7,6,146,50,54,16,-1.38,0,1893,1.63,3
2156881,2022-08-03-03-10,San Jose WTA,wta,1. round,hard,2,2,0.94,Kayla Day,USA,-,-,22,230,122,27,13,13,6,191,135,105,78,-1.56,1,1440,1.94,7,Caroline Dolehide,USA,178,75,23,168,102,17,16,10,6,209,157,122,87,-0.22,1,1456,1.94,3
2154357,2022-08-03-03-30,Washington,atp,1. round,hard,2,2,1.46,Benjamin Bonzi,France,185,76,26,51,44,30,16,4,5,378,215,146,63,-0.7,1,1779,1.61,6,Christopher Eubanks,USA,201,82,26,156,147,20,16,12,9,163,138,119,95,-0.62,0,1630,2.46,6
2154367,2022-08-03-03-30,Washington,atp,1. round,hard,2,2,0.65,Mackenzie McDonald,USA,178,73,27,48,48,17,20,8,8,270,195,178,118,-8.05,1,-,2.36,4,Emil Ruusuvuori,Finland,188,79,23,46,42,29,22,11,7,224,123,93,39,-5.63,1,1782,1.65,4
2154355,2022-08-03-03-40,Washington,atp,1. round,hard,1,1,2.39,Yoshihito Nishioka,Japan,170,64,26,96,48,28,17,14,8,392,224,209,117,1.94,1,1722,3.39,5,Jenson Brooksby,USA,188,82,21,37,33,21,14,10,4,146,72,91,46,-1.35,0,1844,1.36,6
2154363,2022-08-03-03-45,Washington,atp,1. round,hard,1,2,-1,Sebastian Korda,USA,193,75,22,54,30,17,14,7,6,179,117,58,45,-2.21,1,1854,1.95,4,Ilya Ivashka,Belarus,193,84,28,49,40,15,15,3,2,348,220,180,100,-2.06,0,1827,1.93,6
2158367,2022-08-03-05-00,Washington,atp,2. round,hard,1,2,-1,Andrey Rublev,Russia,188,70,24,8,5,32,11,11,3,372,204,138,72,2.12,1,1968,1.39,6,Jack Draper,Great Britain,191,80,20,81,81,33,10,3,2,151,63,65,22,9.59,0,1798,3.28,6
2154351,2022-08-03-05-00,Washington,atp,1. round,hard,2,1,-1,David Goffin,Belgium,180,70,31,60,7,26,17,5,8,591,323,214,124,3.29,3,1820,1.56,6,Jack Sock,USA,191,88,29,105,8,29,14,4,4,332,248,156,135,0.56,0,1756,2.56,6
